,Дата,Менеджер,Звонков совершено,Звонков успешных,Средняя длительность звонка,"Время на линии за день, минут",Количество активных сделок,Количество сделок без задач,Количество просроченных задач,Сделок создано,Встреч назначено,"Кол-во компаний, перешедших на сл этап сделки",Подписано NDA,Подписано договоров,Звонков всего,Разговор состоялся,Говорили с секретарем,Обход секретаря совершён,Секретарь перевел звонок,Контакт получен,Говорили с ЛПР,ЛПР заинтересован,Встреча назначена,Договорились подписать НДА,Договорились подписать Договор,договорились показать кандидатов,кол-во выявл потребн (чел),Нас отправили на почту (КП)
72,2022-02-02,dce5a5e0,62,40,2:01,84,1194,603,753,57,,,,,58,26,24,10,,14,5,9,0,0,0,1,0,10
73,2022-02-03,dce5a5e0,72,44,1:58,87,1270,604,694,97,,,,,72,30,30,13,12,16,6,12,0,0,0,0,7,0
74,2022-02-04,dce5a5e0,86,45,1:57,86,1317,602,735,53,,,,,86,26,23,13,8,14,7,15,2,0,0,0,0,5
75,2022-02-07,dce5a5e0,57,31,2:49,87,1588,653,871,1,,,,,57,23,21,9,6,10,2,15,0,0,0,0,6,8
76,2022-02-07,daaa308c,16,14,2:23,33,668,0,0,0,,,,,14,11,8,8,6,5,3,1,0,2,0,0,0,1
77,2022-02-08,dce5a5e0,57,35,2:36,91,1635,657,790,52,,,,,57,17,14,7,6,5,5,7,0,0,0,0,0,2
78,2022-02-08,daaa308c,15,8,1:00,8,668,0,0,3,,,,,15,8,3,3,3,3,1,0,0,0,0,0,0,0
79,2022-02-09,dce5a5e0,62,31,1:59,61,1658,658,613,34,,,,,62,18,18,10,10,8,4,7,0,0,0,0,0,0
80,2022-02-09,daaa308c,22,13,1:45,22,669,1,3,2,,,,,22,13,8,6,5,2,0,1,0,0,0,0,0,1
81,2022-02-10,dce5a5e0,70,48,2:06,100,1695,660,738,45,,,,,70,33,29,7,8,10,5,10,1,0,0,0,0,12
82,2022-02-10,daaa308c,17,14,1:37,22,671,0,0,5,,,,,17,14,7,5,3,4,0,1,1,0,0,0,0,1
83,2022-02-11,dce5a5e0,72,46,2:26,114,1740,666,738,49,,,,,72,25,21,3,3,7,4,5,0,0,0,0,0,15
84,2022-02-11,daaa308c,18,14,1:19,18,665,0,0,1,,,,,18,11,5,3,1,2,1,1,1,0,0,0,0,1
85,2022-02-14,dce5a5e0,59,42,3:08,131,1776,669,749,40,,,,,59,27,25,3,4,4,3,4,0,0,0,0,0,16
86,2022-02-14,daaa308c,26,13,1:52,24,668,0,6,5,,,,,26,10,4,2,1,2,2,1,0,0,0,0,0,0
87,2022-02-15,dce5a5e0,0,0,0,0,1566,660,256,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2022-02-15,daaa308c,28,19,1:51,30,683,8,6,0,,,,,28,22,4,2,0,1,4,1,0,0,0,0,0,1
89,2022-02-16,dce5a5e0,24,16,3:12,51,1538,657,0,1,,,,,24,12,8,1,3,3,5,2,2,1,2,0,2,4
90,2022-02-16,daaa308c,23,13,1:49,23,681,1,1,0,,,,,23,15,10,10,5,4,1,0,0,0,0,0,0,0
91,2022-02-17,dce5a5e0,51,34,2:30,85,1539,637,0,8,,,,,51,22,15,4,4,6,8,7,0,0,0,0,0,7
